mp_election_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,debates,private_member_bills,questions,attendance,mp_note,national_average_debate,national_average_pmb,national_average_questions,attendance_national_average,state_average_debate,state_average_pmb,state_average_questions,attendance_state_average,mp_house
180036,Parimal Suklabaidya,Elected,09-06-2024,In Office,First Term,Silchar,Assam,Bharatiya Janata Party,Male,Graduate,B.A. from Gauhati University in year 1980,68,8,0,43,0.935064935, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,15.24358974,0.076923077,91.52564103,0.849206349,Lok Sabha
180037,Phani Bhusan Choudhury,Elected,09-06-2024,In Office,First Term,Barpeta,Assam,Asom Gana Parishad,Male,Graduate,"B.Sc. from Arya Vidyapeeth College, Guwahati in year 1973",74,7,0,22,0.785714286, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,15.24358974,0.076923077,91.52564103,0.849206349,Lok Sabha
180038,Pradan Baruah,Elected,09-06-2024,In Office,Third Term,Lakhimpur,Assam,Bharatiya Janata Party,Male,Upto Higher Secondary,"Diploma (Mech. Engg.) from Dibrugarh Polytechnic, Assam in year 1985",61,2,0,3,0.87012987, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,15.24358974,0.076923077,91.52564103,0.849206349,Lok Sabha
180040,Md. Rakibul Hussain,Elected,09-06-2024,In Office,First Term,Dhubri,Assam,Indian National Congress,Male,Post Graduate and above,M.A. (Pol. Sc.) from Aligarh Muslim University in year 2023,62,19,0,113,0.818181818, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,15.24358974,0.076923077,91.52564103,0.849206349,Lok Sabha
180041,Ranjit Dutta,Elected,09-06-2024,In Office,First Term,Sonitpur,Assam,Bharatiya Janata Party,Male,Upto Higher Secondary,"Pre University Examination Passed from Darrang College, Tezpur, Gauhati University in year 1974-75",69,2,0,29,0.850649351, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,15.24358974,0.076923077,91.52564103,0.849206349,Lok Sabha
180256,Bhumare Sandipanrao Asaram,Elected,09-06-2024,In Office,First Term,Aurangabad,Maharashtra,Shiv Sena,Male,Upto Higher Secondary,"11th Class from Institute College, Paithan, Maharashtra in year 1981",64,8,0,237,0.753246753, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,31.9772979,0.88372093,181.1135105,0.844278827,Lok Sabha
180043,Abhay Kumar Sinha,Elected,09-06-2024,In Office,First Term,Aurangabad,Bihar,Rashtriya Janata Dal,Male,Upto Higher Secondary,12th Passed from Gaya College in year 1988,54,51,0,50,0.941558442, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,22.94117647,0.588235294,104.4117647,0.892475172,Lok Sabha
180044,Ajay Kumar Mandal,Elected,09-06-2024,In Office,Second Term,Bhagalpur,Bihar,Janata Dal (United),Male,Upto Higher Secondary,"9th Passed from Shri Sant High School, Ghogha, Bhagalpur",48,1,0,111,0.428571429, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,22.94117647,0.588235294,104.4117647,0.892475172,Lok Sabha
180047,Ashok Kumar Yadav,Elected,09-06-2024,In Office,Second Term,Madhubani,Bihar,Bharatiya Janata Party,Male,Post Graduate and above,"Ph.D. from Lalit Narayan Mithila University, Darbhanga, Bihar in year 2006",56,2,0,12,0.980519481, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,22.94117647,0.588235294,104.4117647,0.892475172,Lok Sabha
180049,Devesh Chandra Thakur,Elected,09-06-2024,In Office,First Term,Sitamarhi,Bihar,Janata Dal (United),Male,Graduate,"L.L.B. from I.L.S Pune, Pune University, Maharashtra (1976)",73,4,0,19,0.746753247, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,22.94117647,0.588235294,104.4117647,0.892475172,Lok Sabha
180050,Dileshwar Kamait,Elected,09-06-2024,In Office,Second Term,Supaul,Bihar,Janata Dal (United),Male,Graduate,"B.A. from T.P College, Madhepura (Bhagalpur University) in year 1968",80,42,0,161,0.993506494, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,22.94117647,0.588235294,104.4117647,0.892475172,Lok Sabha
180084,Bhojraj Nag,Elected,09-06-2024,In Office,First Term,Kanker,Chhattisgarh,Bharatiya Janata Party,Male,Upto Higher Secondary,"9th Passed from Govt. Higher Secondary School, Antagarh in year 1986",54,2,0,219,0.876623377, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,12,NA,144.3,0.874675325,Lok Sabha
180051,Dinesh Chandra Yadav,Elected,09-06-2024,In Office,Fifth Term,Madhepura,Bihar,Janata Dal (United),Male,Upto Higher Secondary,"Diploma (Civil Engg.) from Govt. Polytechnic, Saharsa, Bihar in year 1971",75,26,0,133,0.909090909, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,22.94117647,0.588235294,104.4117647,0.892475172,Lok Sabha
180052,Giridhari Yadav,Elected,09-06-2024,In Office,Fourth Term,Banka,Bihar,Janata Dal (United),Male,Post Graduate and above,M.A. (History) from Dr. Hari Singh Gour University in year 1989,65,3,0,128,0.746753247, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,22.94117647,0.588235294,104.4117647,0.892475172,Lok Sabha
180054,Gopal Jee Thakur,Elected,09-06-2024,In Office,Second Term,Darbhanga,Bihar,Bharatiya Janata Party,Male,Post Graduate and above,"Ph.D. from L.N.M. University, Darbhanga, in 2020",56,23,0,115,0.967532468, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,22.94117647,0.588235294,104.4117647,0.892475172,Lok Sabha
180057,Kaushalendra Kumar,Elected,09-06-2024,In Office,Fourth Term,Nalanda,Bihar,Janata Dal (United),Male,Upto Higher Secondary,"IA, Sardar Patel Memorial College, Bihar Sharif, 1980",67,34,0,159,0.993506494, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,22.94117647,0.588235294,104.4117647,0.892475172,Lok Sabha
180058,Lovely Anand,Elected,09-06-2024,In Office,Second Term,Sheohar,Bihar,Janata Dal (United),Female,Graduate,"Degree from Lalit Narayan Mithila University, Bihar, 1991",59,33,0,87,0.961038961, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,22.94117647,0.588235294,104.4117647,0.892475172,Lok Sabha
180059,Manoj Kumar,Elected,09-06-2024,In Office,First Term,Sasaram,Bihar,Indian National Congress,Male,Graduate,"Graduate, Vir Kunwar Singh University, Arrah, Bihar, 2003",43,18,0,56,0.941558442, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,22.94117647,0.588235294,104.4117647,0.892475172,Lok Sabha
180061,Mohammad Jawed,Elected,09-06-2024,In Office,Second Term,Kishanganj,Bihar,Indian National Congress,Male,Graduate,"MBBS from Govt. Medical College, Kashmir University in year 1989",63,42,0,143,0.993506494, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,22.94117647,0.588235294,104.4117647,0.892475172,Lok Sabha
180063,Pradeep Kumar Singh,Elected,09-06-2024,In Office,Third Term,Araria,Bihar,Bharatiya Janata Party,Male,Upto Higher Secondary,Matric from Bihar Board in 1982,61,10,0,235,0.961038961, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,22.94117647,0.588235294,104.4117647,0.892475172,Lok Sabha
